"",hat,strecher,0
"",oven,rice cooker,0
"",person,burrow,1
"",bin,table,0
"",towel,credit card,1
"",chicken,suitcase,0
"",ring,helmet,0
"",spider,teeth,1
"",bottle,bird,0
"",box,clown,0
"",bowl,suitcase,0
"",mouse,bin,1
"",shelf,glove,1
"",table,key box,1
"",tractor,file,1
"",jelly,ruler,0
"",tank,apple,1
"",clown,refrigerator,0
"",clown,plane,0
"",newspaper,pot,1
"",mouth,person,0
"",clown,rice cooker,1
"",clown,balloon,1
"",monkey,box,1
"",monitor,bear,0
"",envelope,actor,0
"",person,television,1
"",hive,monkey,0
"",gun,piggy bank,1
"",rabbit,teddy bear,0
"",pot,desk,0
"",comic,electric bulb,1
"",bird's beak,person,0
"",helmet,mouth,1
"",human,boot,1
"",pocket,bear,0
"",elephant,person,1
"",rabbit,dog,0
"",squirrel,cattle,0
"",person,rabbit,1
"",aquarium,desk,0
"",burrow,electric fan,0
"",cattle,hive,1
"",electric bulb,book,0
"",tractor,flea,1
"",sandwich,bee,1
"",book,beatle,1
"",CD,beatle,1
"",cat,curtain,0
"",cat,printer,0
"",cat,leaf,1
"",comic,person,0
"",sheet,blanket,1
"",chicken,CD,1
"",drawer,envelope,1
"",sink,clown,0
"",cattle,mouth,1
"",zipper,CD,0
"",bowl,car,0
"",piggy bank,plate,0
"",dish,handkerchief,1
"",handkerchief,CD,0
"",pot,handkerchief,1
"",box,frisbee,1
"",frisbee,ambulance,0
"",pocket,file,1
"",pan,actor,0
"",towel,balloon,0
"",keyboard,sack,0
"",leaf,teddy bear,0
"",leaflet,bomb,0
"",flag,burrow,0
"",hand,couch,0
"",toy,file,1
"",canvas,file,1
"",helmet,cattle,0
"",clown,bin,1
"",towel,rabbit,0
"",newspaper,human,0
"",hand,frog,0
"",sheet,bear,0
"",human,leaflet,1
"",bike,blanket,1
"",leaflet,aircraft,0
"",leaf,tank,0
"",leaf,tank,0
"",bicycle,envelope,1
"",CD,tank,0
"",keyboard,bike,0
"",ambulance,keyboard,1
"",pot,gun,1
"",bomb,cat,1
"",potato,rock,0
"",studio,actor,1
"",rabbit,snake,0
"",spoon,piano,0
"",television,mouth,1
"",actor,hat,1
"",closet,hive,1
"",zipper,piano,0
"",zipper,salmon,0
"",burrow,actor,0
"",elephant,sack,1
"",letter,suitcase,0
"",pan,drawer,0
"",newspaper,table,0
"",frisbee,actor,0
"",bike,bird's beak,1
"",desk,parking lot,0
"",jar,electric fan,0
"",oven,glove,1
"",piano,desk,1
"",garage,van,1
"",pot,bush,0
"",bear,teddy bear,1
"",gun,key box,1
"",box,bus,0
"",frisbee,zipper,1
"",jar,person,0
"",rabbit,wallet,1
"",actor,package,1
"",person,teddy bear,1
"",egg,actor,0
"",book,jar,1
"",zipper,cutting board,0
"",bottle,zipper,1
"",CD,glove,1
"",rabbit,tank,0
"",person,actor,1
"",drawer,fridge,1
"",clown,bowl,1
"",rabbit,spoon,1
"",monkey,piggy bank,1
"",strecher,envelope,1
"",printer,bag,1
"",electric bulb,CD,0
"",bowl,person,0
"",box,rhinoceros,0
"",mug,snake,0
"",sandwich,thumb,1
"",wallet,key,1
"",snake,disk,1
"",leaf,photo,0
"",car,plane,0
"",balloon,person,0
"",aquarium,elephant,0
"",piggy bank,human,0
