"A hat now accommodates a stretcher.",hat,stretcher,0
"An oven now accommodates a rice cooker.",oven,rice cooker,0
"A burrow now accommodates a person.",person,burrow,1
"A bin now accommodates a table.",bin,table,0
"A towel adheres to the surface of a credit card.",towel,credit card,1
"A suitcase adheres to the surface of a chicken.",chicken,suitcase,0
"A helmet adheres to the surface of a ring.",ring,helmet,0
"A spider adheres to the surface of a teeth.",spider,teeth,1
"A bird is appeared from a bottle.",bottle,bird,0
"A clown is appeared from a box.",box,clown,0
"A suitcase is arranged in a bowl.",bowl,suitcase,0
"A mouse arrived for you is in a bin.",mouse,bin,1
"A shelf arrived for you is in a glove.",shelf,glove,1
"A table is assembled in a key box.",table,key box,1
"I attached a tractor on a file.",tractor,file,1
"I attached a ruler on a jelly.",jelly,ruler,0
"I attached a tank on an apple.",tank,apple,1
"A clown batted a refrigerator away.",clown,refrigerator,0
"A clown bearing a plane for gifts.",clown,plane,0
"An actor boiled a newspaper in a pot.",newspaper,pot,1
"A person breached a surface of a mouth.",mouth,person,0
"A clown breached a surface of a rice cooker.",clown,rice cooker,1
"A clown breached a surface of a balloon.",clown,balloon,1
"A monkey breached a surface of a box.",monkey,box,1
"A bear breached a surface of a monitor.",monitor,bear,0
"An actor breached a surface of an envelope.",envelope,actor,0
"A person breached a surface of a television.",person,television,1
"A monkey breached a surface of a hive.",hive,monkey,0
"A piggy bank broke under the weight of a gun.",gun,piggy bank,1
"A rabbit brought a teddy bear by hand.",rabbit,teddy bear,0
"A desk is buried in a pot.",pot,desk,0
"A comic is buried in an electric bulb.",comic,electric bulb,1
"A person is buried in a bird's beak.",bird's beak,person,0
"A helmet is buried in a mouth.",helmet,mouth,1
"A human is captured in a boot.",human,boot,1
"A bear is captured in a pocket.",pocket,bear,0
"A person captured an elephant.",elephant,person,1
"A rabbit captured a dog.",rabbit,dog,0
"A squirrel captured a cattle.",squirrel,cattle,0
"A rabbit was carrying a person.",person,rabbit,1
"A human cast a desk into an aquarium.",aquarium,desk,0
"A human cast an electric fan into a burrow.",burrow,electric fan,0
"A clown cast a cattle into a hive.",cattle,hive,1
"A human cast a book into an electric bulb.",electric bulb,book,0
"A flea caught a tractor in its mouth.",tractor,flea,1
"A bee caught a sandwich in its mouth.",sandwich,bee,1
"A beatle caught a book in its mouth.",book,beatle,1
"A beatle caught a CD in its mouth.",CD,beatle,1
"A cat caught a curtain in its mouth.",cat,curtain,0
"A cat caught a printer in its mouth.",cat,printer,0
"A human chopped a cat on a leaf.",cat,leaf,1
"A human chopped a person on a comic.",comic,person,0
"A blanket concealed a sheet.",sheet,blanket,1
"A CD concealed a chicken.",chicken,CD,1
"A drawer is concentrated in an envelope.",drawer,envelope,1
"I kept a clown confined in a sink.",sink,clown,0
"A mouth contains a cattle.",cattle,mouth,1
"A zipper contains a CD.",zipper,CD,0
"A bowl contains a car.",bowl,car,0
"A piggy bank contains a plate.",piggy bank,plate,0
"I covered a dish with a handkerchief.",dish,handkerchief,1
"I covered a CD with a handkerchief.",handkerchief,CD,0
"I covered a pot with a handkerchief.",pot,handkerchief,1
"I covered a box with a frisbee.",box,frisbee,1
"I covered an ambulance with a frisbee.",frisbee,ambulance,0
"I covered a pocket with a file.",pocket,file,1
"A pan covered an actor.",pan,actor,0
"A towel covered a balloon.",towel,balloon,0
"A keyboard covered a sack.",keyboard,sack,0
"A leaf covered a teddy bear.",leaf,teddy bear,0
"A leaflet covered a bomb.",leaflet,bomb,0
"A burrow is covered with a flag.",flag,burrow,0
"A couch is covered with a hand.",hand,couch,0
"A toy is covered with a file.",toy,file,1
"A canvas is covered with a file.",canvas,file,1
"A cattle crawled into a helmet.",helmet,cattle,0
"A clown crawled into a bin.",clown,bin,1
"A rabbit crossed a towel.",towel,rabbit,0
"A human crossed a newspaper.",newspaper,human,0
"A frog crossed a hand.",hand,frog,0
"A bear crossed a sheet.",sheet,bear,0
"A human crossed a leaflet.",human,leaflet,1
"A bike cruised a blanket.",bike,blanket,1
"An aircraft cruised a leaflet.",leaflet,aircraft,0
"A tank cruised a leaf.",leaf,tank,0
"A tank cruised a leaf.",leaf,tank,0
"A bicycle cruised an envelope.",bicycle,envelope,1
"A tank cruised a CD.",CD,tank,0
"A bike cruised a keyboard.",keyboard,bike,0
"An ambulance cruised a keyboard.",ambulance,keyboard,1
"A gun crushed a pot into small pieces.",pot,gun,1
"A cat crushed a bomb into small pieces.",bomb,cat,1
"A potato crushed a rock into small pieces.",potato,rock,0
"An actor crushed a studio into small pieces.",studio,actor,1
"A rabbit delivered a snake with all his force.",rabbit,snake,0
"She deposited a piano on a spoon.",spoon,piano,0
"She deposited a television on a mouth.",television,mouth,1
"A human deposited an actor in a hat.",actor,hat,1
"A clown dipped a closet in a hive.",closet,hive,1
"A clown dipped a piano in a zipper.",zipper,piano,0
"A human watched a salmon disappear into a zipper.",zipper,salmon,0
"A human watched an actor disappear into a burrow.",burrow,actor,0
"A human watched an elephant disappear into a sack.",elephant,sack,1
"A letter is littered with a suitcase.",letter,suitcase,0
"A pan is littered with a drawer.",pan,drawer,0
"A newspaper is littered with a table.",newspaper,table,0
"A frisbee is littered with an actor.",frisbee,actor,0
"Police discovered a bike while searching a bird's beak.",bike,bird's beak,1
"Police discovered a parking lot while searching a desk.",desk,parking lot,0
"An electric fan was discovered in a jar.",jar,electric fan,0
"An oven was discovered in a glove.",oven,glove,1
"A piano was discovered in a desk.",piano,desk,1
"A garage was discovered in a van.",garage,van,1
"A bush was discovered in a pot.",pot,bush,0
"A bear was displayed in a teddy bear.",bear,teddy bear,1
"A gun was displayed in a key box.",gun,key box,1
"A bus was displayed in a box.",box,bus,0
"A frisbee was displayed in a zipper.",frisbee,zipper,1
"A person was dived into a jar.",jar,person,0
"A rabbit was dived into a wallet.",rabbit,wallet,1
"An actor was dived into a package.",actor,package,1
"A person was dived into a teddy bear.",person,teddy bear,1
"An actor was dived into an egg.",egg,actor,0
"A human drew a book out of a jar.",book,jar,1
"A bear dropped a cutting board into a zipper.",zipper,cutting board,0
"A squirrel dropped a bottle into a zipper.",bottle,zipper,1
"An actor dumped a CD in a glove.",CD,glove,1
"A rabbit elevated a tank manually.",rabbit,tank,0
"An actor elevated a person manually.",person,actor,1
"A drawer is elminated from a fridge.",drawer,fridge,1
"A clown emerged from a bowl.",clown,bowl,1
"A rabbit emerged from a spoon.",rabbit,spoon,1
"A monkey emerged from a piggy bank.",monkey,piggy bank,1
"I emptied a stretcher out of an envelope.",stretcher,envelope,1
"I emptied a printer out of a bag.",printer,bag,1
"I emptied a CD out of an electric bulb.",electric bulb,CD,0
"A person entered into a bowl.",bowl,person,0
"A rhinoceros entered into a box.",box,rhinoceros,0
"A snake entered into a mug.",mug,snake,0
"A sandwich entered a thumb.",sandwich,thumb,1
"A wallet entered an key.",wallet,key,1
"A snake entered a disk.",snake,disk,1
"A photo entered a leaf.",leaf,photo,0
"A plane entered a car.",car,plane,0
"A person has escaped from a balloon.",balloon,person,0
"An elephant has escaped from an aquarium.",aquarium,elephant,0
"A human is evacuated from a piggy bank.",piggy bank,human,0
