"A human abandoned a curtain in a studio.",curtain,studio,1
"A human abandoned a shirt in a studio.",studio,shirt,0
"A clown abandoned an electric bulb in a studio.",electric bulb,studio,1
"A human abandoned a plate in a garage.",plate,garage,1
"A human abandoned a fridge in a parking lot.",parking lot,fridge,0
"An actor abandoned a bowl in a warehouse.",warehouse,bowl,0
"A human abandoned a notebook in a pond.",notebook,pond,1
"A clown abandoned a towel in a house.",house,towel,0
"A ring is arranged in a closet.",ring,closet,1
"A sandwich is arranged in a pot.",pot,sandwich,0
"A sheet is arranged in a tractor.",tractor,sheet,0
"A rose is arranged in a boot.",rose,boot,1
"A snake is arranged in a van.",snake,van,1
"A lens is arranged in a crib.",lens,crib,1
"A piggy bank is arranged in a pond.",pond,piggy bank,0
"A leaf arrived for you is in a shelf.",shelf,leaf,0
"A chocolate arrived for you is in a bag.",chocolate,bag,1
"A sandwich arrived for you is in a rice cooker.",sandwich,rice cooker,1
"A disk arrived for you is in a teddy bear.",disk,teddy bear,1
"A worm arrived for you is in a drawer.",drawer,worm,0
"A pollen arrived for you is in a desk.",desk,pollen,0
"A vegetable is assembled in a fridge.",fridge,vegetable,0
"A frog is assembled in a fridge.",frog,fridge,1
"A rabbit is assembled in a bush.",bush,rabbit,0
"A ladybug is assembled in a pot.",ladybug,pot,1
"A blanket is assembled in a sink.",blanket,sink,1
"A bomb is assembled in a shelf.",bomb,shelf,1
"A teddy bear is assembled in a drawer.",teddy bear,drawer,1
"A human boiled a credit card in a pot.",credit card,pot,1
"An actor boiled a wallet in a pot.",wallet,pot,1
"An actor boiled a camera in a pot.",pot,camera,0
"A clown boiled a kitten in a pot.",pot,kitten,0
"A clown boiled a penny in a pot.",penny,pot,1
"A human boiled a cigarette in a pot.",cigarette,pot,1
"A clown boiled a mouse in a pot.",pot,mouse,0
"A human is buried in a stretcher.",human,stretcher,1
"A beatle is buried in a rice cooker.",beatle,rice cooker,1
"A drawer is buried in a tank.",tank,drawer,0
"A flower is buried in an aquarium.",aquarium,flower,0
"An actor is captured in a house.",actor,house,1
"A bee is captured in a car.",car,bee,0
"A salmon is captured in a ship.",ship,salmon,0
"A snake is captured in a room.",snake,room,1
"A kitten is captured in an oven.",oven,kitten,0
"A butterfly is captured in a pocket.",pocket,butterfly,0
"A clown cast a butterfly into a stretcher.",stretcher,butterfly,0
"An actor cast a helmet into a studio.",helmet,studio,1
"A clown cast a zipper into a pond.",zipper,pond,1
"A human cast a letter into a tank.",letter,tank,1
"A bear caught a rock in its mouth.",rock,bear,1
"A bear caught a pot in its mouth.",bear,pot,0
"A battery is concentrated in a tank.",tank,battery,0
"An ice is concentrated in a zipper.",ice,zipper,1
"A chicken is concentrated in a van.",chicken,van,1
"A book is concentrated in a helmet.",helmet,book,0
"A pollen is concentrated in a shirt.",pollen,shirt,1
"An electric fan is concentrated in a pond.",pond,electric fan,0
"A keyboard is concentrated in a hive.",keyboard,hive,1
"I kept a frog confined in a car.",car,frog,0
"I kept a dog confined in a van.",van,dog,0
"I kept a kitten confined in a tractor.",tractor,kitten,0
"I kept a ladybug confined in a warehouse.",ladybug,warehouse,1
"I kept a frog confined in a desk.",desk,frog,0
"I kept a flea confined in a file.",flea,file,1
"I kept a bird confined in a container.",bird,container,1
"A butterfly crawled into an asylum.",asylum,butterfly,0
"A frog crawled into a trash can.",trash can,frog,0
"A bee crawled into a closet.",bee,closet,1
"A butterfly crawled into a package.",package,butterfly,0
"A ladybug crawled into a spoon.",ladybug,spoon,1
"A worm crawled into a crib.",worm,crib,1
"A snake crushed a potato into small pieces.",snake,potato,0
"A watermelon crushed a snake into small pieces.",watermelon,snake,0
"A bag crushed a bomb into small pieces.",bomb,bag,1
"A bird crushed a photo into small pieces.",bird,photo,0
"A human deposited a plate in a tank.",plate,tank,1
"An actor deposited a bear in a pond.",bear,pond,1
"A human deposited a shirt in a plane.",plane,shirt,0
"A human deposited a bomb in a teddy bear.",bomb,teddy bear,1
"An actor deposited a watermelon in an asylum.",asylum,watermelon,0
"An actor deposited a rabbit in a shelf.",shelf,rabbit,0
"A clown deposited a phone in a fridge.",fridge,phone,0
"A human dipped a suitcase in a fridge.",fridge,suitcase,0
"An actor dipped a biscuit in a fridge.",biscuit,fridge,1
"A human dipped a book in a fridge.",book,fridge,1
"A clown dipped a food in a garage.",garage,food,0
"A clown dipped a bee in a bottle.",bee,bottle,1
"A human dipped a rabbit in a studio.",rabbit,studio,1
"A clown watched a ladybug disappear into a ship.",ship,ladybug,0
