"A human abandoned a curtain in a studio.",curtain,studio,1
"A human abandoned a shirt in a studio.",studio,shirt,0
"A clown abandoned an electric bulb in a studio.",electric bulb,studio,1
"A human abandoned a plate in a garage.",plate,garage,1
"A human abandoned a fridge in a parking lot.",parking lot,fridge,0
"An actor abandoned a bowl in a warehouse.",warehouse,bowl,0
"A human abandoned a notebook in a pond.",notebook,pond,1
"A clown abandoned a towel in a house.",house,towel,0
"A suitcase now accommodates a package.",package,suitcase,1
"A drawer now accommodates a mouse.",drawer,mouse,0
"A teddy bear now accommodates a food.",teddy bear,food,0
"A strecher now accommodates a glove.",glove,strecher,1
"A rose adheres to the surface of a bear.",rose,bear,1
"A bird adheres to the surface of a pot.",pot,bird,0
"A diamond adheres to the surface of a CD.",diamond,CD,1
"An key adheres to the surface of a dish.",dish,key,0
"A credit card is aligned with a shelf.",credit card,shelf,1
"A cutting board is aligned with a shelf.",shelf,cutting board,0
"A flag is aligned with a shelf.",flag,shelf,1
"A lens is aligned with a shelf.",lens,shelf,1
"A rice cooker is aligned with a shelf.",rice cooker,shelf,1
"A ladybug is aligned with a shelf.",shelf,ladybug,0
"A helmet is aligned with a shelf.",shelf,helmet,0
"A nail is aligned with a shelf.",shelf,nail,0
"A frog is appeared from a mouth.",frog,mouth,1
"A flea is appeared from a zipper.",zipper,flea,0
"A squirrel is appeared from a box.",squirrel,box,1
"A frog is appeared from a bag.",frog,bag,1
"A cattle is appeared from a tractor.",tractor,cattle,0
"An actor is appeared from an ambulance.",actor,ambulance,1
"A gorilla is armed with a gun.",gun,gorilla,1
"A clown is armed with a gun.",gun,clown,1
"A person is armed with a gun.",gun,person,1
"A monkey is armed with a gun.",gun,monkey,1
"A soldier is armed with a gun.",gun,soldier,1
"An actor is armed with a gun.",gun,actor,1
"A person is armed with a gun.",person,gun,0
"An actor is armed with a gun.",actor,gun,0
"A ring is arranged in a closet.",ring,closet,1
"A sandwich is arranged in a pot.",pot,sandwich,0
"A sheet is arranged in a tractor.",tractor,sheet,0
"A rose is arranged in a boot.",rose,boot,1
"A snake is arranged in a van.",snake,van,1
"A lens is arranged in a crib.",lens,crib,1
"A piggy bank is arranged in a pond.",pond,piggy bank,0
"A leaf arrived for you is in a shelf.",shelf,leaf,0
"A chocolate arrived for you is in a bag.",chocolate,bag,1
"A sandwich arrived for you is in a rice cooker.",sandwich,rice cooker,1
"A disk arrived for you is in a teddy bear.",disk,teddy bear,1
"A worm arrived for you is in a drawer.",drawer,worm,0
"A pollen arrived for you is in a desk.",desk,pollen,0
"A vegetable is assembled in a fridge.",fridge,vegetable,0
"A frog is assembled in a fridge.",frog,fridge,1
"A rabbit is assembled in a bush.",bush,rabbit,0
"A ladybug is assembled in a pot.",ladybug,pot,1
"A blanket is assembled in a sink.",blanket,sink,1
"A bomb is assembled in a shelf.",bomb,shelf,1
"A teddy bear is assembled in a drawer.",teddy bear,drawer,1
"I attached a candle on a book.",book,candle,0
"I attached a toy on an oven.",toy,oven,1
"I attached a ticket on a rhinoceros.",rhinoceros,ticket,0
"I attached a key box on a dish.",key box,dish,1
"I attached a candle on a rock.",rock,candle,0
"An actor batted a biscuit away.",biscuit,actor,1
"A monkey batted a fish away.",fish,monkey,1
"A clown batted a penny away.",penny,clown,1
"An actor batted a snake away.",actor,snake,0
"A clown batted a rock away.",clown,rock,0
"A clown batted a frog away.",clown,frog,0
"A monkey batted a cutting board away.",cutting board,monkey,1
"A clown bearing a frog for gifts.",clown,frog,0
"A human bearing a chicken for gifts.",human,chicken,0
"A clown bearing a photo for gifts.",photo,clown,1
"An actor bearing a penny for gifts.",actor,penny,0
"A clown bearing a sack for gifts.",sack,clown,1
"An actor bearing a dictionary for gifts.",dictionary,actor,1
"A clown bearing a sheet for gifts.",sheet,clown,1
"A human boiled a credit card in a pot.",credit card,pot,1
"An actor boiled a wallet in a pot.",wallet,pot,1
"An actor boiled a camera in a pot.",pot,camera,0
"A clown boiled a kitten in a pot.",pot,kitten,0
"A clown boiled a penny in a pot.",penny,pot,1
"A human boiled a cigarette in a pot.",cigarette,pot,1
"A clown boiled a mouse in a pot.",pot,mouse,0
"An electric bulb broke under the weight of a ring.",electric bulb,ring,0
"A van broke under the weight of a trash can.",trash can,van,1
"An envelope broke under the weight of a jar.",envelope,jar,0
"A desk broke under the weight of a nest.",nest,desk,1
"A plane broke under the weight of a frisbee.",frisbee,plane,1
"A shelf broke under the weight of a bacteria.",bacteria,shelf,1
"A ship broke under the weight of a bike.",bike,ship,1
