"A suitcase now accommodates a package.",package,suitcase,1
"A drawer now accommodates a mouse.",drawer,mouse,0
"A teddy bear now accommodates a food.",teddy bear,food,0
"A stretcher now accommodates a glove.",glove,stretcher,1
"A rose adheres to the surface of a bear.",rose,bear,1
"A bird adheres to the surface of a pot.",pot,bird,0
"A diamond adheres to the surface of a CD.",diamond,CD,1
"An key adheres to the surface of a dish.",dish,key,0
"A credit card is aligned with a shelf.",credit card,shelf,1
"A cutting board is aligned with a shelf.",shelf,cutting board,0
"A flag is aligned with a shelf.",flag,shelf,1
"A lens is aligned with a shelf.",lens,shelf,1
"A rice cooker is aligned with a shelf.",rice cooker,shelf,1
"A ladybug is aligned with a shelf.",shelf,ladybug,0
"A helmet is aligned with a shelf.",shelf,helmet,0
"A nail is aligned with a shelf.",shelf,nail,0
"A frog is appeared from a mouth.",frog,mouth,1
"A flea is appeared from a zipper.",zipper,flea,0
"A squirrel is appeared from a box.",squirrel,box,1
"A frog is appeared from a bag.",frog,bag,1
"A cattle is appeared from a tractor.",tractor,cattle,0
"An actor is appeared from an ambulance.",actor,ambulance,1
"A gorilla is armed with a gun.",gun,gorilla,1
"A clown is armed with a gun.",gun,clown,1
"A person is armed with a gun.",gun,person,1
"A monkey is armed with a gun.",gun,monkey,1
"A soldier is armed with a gun.",gun,soldier,1
"An actor is armed with a gun.",gun,actor,1
"A person is armed with a gun.",person,gun,0
"An actor is armed with a gun.",actor,gun,0
"I attached a candle on a book.",book,candle,0
"I attached a toy on an oven.",toy,oven,1
"I attached a ticket on a rhinoceros.",rhinoceros,ticket,0
"I attached a key box on a dish.",key box,dish,1
"I attached a candle on a rock.",rock,candle,0
"An actor batted a biscuit away.",biscuit,actor,1
"A monkey batted a fish away.",fish,monkey,1
"A clown batted a penny away.",penny,clown,1
"An actor batted a snake away.",actor,snake,0
"A clown batted a rock away.",clown,rock,0
"A clown batted a frog away.",clown,frog,0
"A monkey batted a cutting board away.",cutting board,monkey,1
"A clown bearing a frog for gifts.",clown,frog,0
"A human bearing a chicken for gifts.",human,chicken,0
"A clown bearing a photo for gifts.",photo,clown,1
"An actor bearing a penny for gifts.",actor,penny,0
"A clown bearing a sack for gifts.",sack,clown,1
"An actor bearing a dictionary for gifts.",dictionary,actor,1
"A clown bearing a sheet for gifts.",sheet,clown,1
"An electric bulb broke under the weight of a ring.",electric bulb,ring,0
"A van broke under the weight of a trash can.",trash can,van,1
